D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
-0.876706667,-0.706894647,-0.191184773,-0.154835019,-1.087548356,-1.175333534,-0.643581928,-0.580372293,-0.932031235,-0.451803157,1.164205012,-1.485317733,0.32339309,0.406710399,-1.206951745,-0.058073305,-0.271670126,0.109222967,0.347639647
0.260029142,1.508442325,1.124392473,1.574592823,-1.077014282,-0.451150129,-0.137452662,0.499171333,-0.668684414,3.720689094,4.543918545,-1.129879246,1.384456142,1.393115238,-0.351207957,-0.186711976,0.078095774,-1.295089688,2.549784352
4.375105316,5.293422994,3.031972188,-1.676501129,-1.21798745,-0.292703395,-0.625020101,3.529580791,2.112325639,1.820747187,0.155321332,1.27997411,5.196465866,0.892445932,0.227669653,-0.237098096,2.309319006,-0.611793662,1.752666285
5.428082251,6.707946679,3.81513622,-0.121334508,-0.592738796,0.657819185,-0.064131871,5.410942029,2.837922406,3.836509969,0.463846565,2.083051012,7.196125879,1.386587309,1.068447963,0.451672768,5.030115024,1.45646909,1.968101189
2.523566287,2.930723845,4.119810636,-0.036762155,-1.102879941,1.141071527,-0.404900261,3.875249738,1.63797165,3.666399537,0.328729313,-0.392099861,2.105673812,0.804495122,-0.486838881,-0.254900688,3.774731286,2.055178589,0.338327757
0.141628296,0.08309449,0.80582199,-0.400228454,2.110742526,-0.647767099,0.021896732,0.933405203,-0.305389216,0.803567297,-0.216466635,-0.246535982,0.727821423,0.983549001,-0.040777317,0.340936672,-0.356372609,0.405024685,-0.358468938
0.798878669,1.116624764,1.13206957,-0.151063724,1.599727584,-0.003216564,0.005757754,0.81893881,-0.005197223,2.483617515,-0.359117687,0.671951839,1.30224175,0.483919875,0.203673762,0.171017659,0.398926393,1.150310416,2.338987829
3.702340529,4.756515024,4.061596155,0.158359562,-0.289738371,1.388422136,0.291509248,2.336453603,1.735078323,2.833615687,0.565801621,2.443165034,4.330004249,0.858070275,1.019578833,0.771057068,4.172759636,0.866285705,3.983545642
-0.073095437,0.95439065,1.254497927,1.918082014,-0.79142794,-0.00133124,-0.637144765,-0.273154075,-0.951535986,0.995701844,2.064536626,-1.293634315,0.670185756,0.052774894,-1.005909154,-0.716533604,0.833019673,-0.320380426,-0.036054155
-0.90185866,-0.691832462,-0.169478968,-0.03954146,-1.111794591,-1.151699625,-0.653749579,-0.588221352,-0.891303109,-0.451696123,1.347737549,-1.445601925,0.260723164,0.364515016,-1.251636874,-0.079685945,-0.224438483,0.164736763,0.307343248
0.363722946,1.766224897,0.929775645,1.510458586,-1.063256285,-0.437689704,-0.132667505,0.501816538,-0.794366806,3.716401509,4.882322917,-1.109841113,1.43109496,1.536329063,-0.305657203,-0.267692148,0.309065313,-1.188141582,2.800709173
4.20128107,5.012859667,2.976306493,-1.728721306,-1.217627376,-0.379546565,-0.641396338,3.126096813,1.12294741,1.300747099,-0.069448155,1.160946829,4.995084761,0.788613322,0.256568061,-0.129882966,1.987211542,-0.824670142,1.87182711
5.62775792,6.719547057,4.164073729,0.106084873,-0.698269712,0.657099191,-0.134657082,5.102792669,2.90563323,3.830604704,0.560346953,2.234162994,7.104317763,1.313591918,1.069711157,0.318264594,4.766376243,1.61919868,2.010528402
2.85397329,2.976558084,3.655303101,0.033660266,-1.137804849,1.283698267,-0.427477206,4.268547319,0.873627864,3.407713813,0.28063683,-0.2876856,3.030992523,0.918017234,-0.405245925,-0.338183645,3.433127115,1.99701512,0.487915659
0.172532478,0.112810691,0.689415233,-0.319431246,1.967560485,-0.623432136,-0.051218828,0.8078199,-0.487644751,0.625285217,-0.113480247,-0.235879882,0.770892916,0.981197453,-0.056614198,0.103643441,-0.173632739,0.450680956,-0.456289289
0.854657597,1.069929658,1.064845714,-0.09968808,1.494603329,-0.023949671,-0.127765708,0.7563459,-0.508001648,2.214489885,-0.423850321,0.833794186,1.293232038,0.480269422,0.103538387,0.015719957,1.502243485,1.015498802,2.249036977
3.33302643,4.113739749,3.829855978,0.118772509,-0.266807788,1.332137507,-0.001852364,2.711094937,0.80161979,2.799587005,0.432509552,2.095364105,3.93368559,0.845037866,0.884126712,0.420792952,5.585418806,0.954297056,3.9771172
-0.047440137,1.077700358,1.18261179,1.909246091,-0.887570736,0.021590538,-0.633821955,-0.231937328,-0.986334676,1.402300607,2.166729771,-1.285345004,0.683535245,0.062858941,-0.985782632,-0.639588294,0.970187846,-0.287810178,-0.000954113
0.321292988,0.168741608,0.1630948,0.245879687,0.937472616,0.727732048,1.081975968,0.782479993,1.003296696,0.240548475,-0.169839911,0.435738027,-0.008108763,0.771705189,0.685059321,0.644745226,-0.249767913,0.203623737,0.300727119
0.635526771,-0.062443845,0.361602168,0.375864796,0.396808878,0.659195805,0.331193638,0.210522839,0.217444725,0.453093379,-0.083492594,0.141044858,0.32065031,0.371855013,0.8427946,0.303926169,0.893561252,0.611057598,1.130334158
-0.016558329,-0.227433814,-0.147703372,0.110361001,0.285625261,0.85856988,0.726471716,0.286123485,0.426143292,-0.059008756,0.394094097,0.367774305,-0.182104565,0.327457568,0.538446071,0.511160837,0.268120228,0.269631585,0.563057064
0.550104249,-0.257736658,0.049984843,0.617592764,0.17296289,1.048648232,0.963962373,0.336266263,0.998277671,0.558309183,-0.311310409,1.015923145,-0.211123963,0.823139728,0.767999591,1.270315526,0.059024437,-0.429887071,-1.070666774
0.130959245,0.240087956,0.363236562,-0.835620591,2.380098885,-0.663958528,0.408030819,0.964526517,-0.132868337,1.594206021,-0.920880465,0.179515691,-0.007818155,0.045300914,0.192007347,-0.215114413,-0.348959045,0.342308393,0.482541851
0.530271045,0.285311985,0.203087719,0.107194664,1.250045785,0.106664407,0.973708285,0.644017436,0.591094187,0.372793191,-0.255851492,0.578237171,-0.125806393,0.709872964,0.585172774,0.752418095,-0.061886688,0.533513509,0.209768429
-0.02247456,0.034385447,-0.394636973,-0.037234549,0.266555609,0.46991736,1.033676378,0.733209259,0.329871643,0.063194044,-0.076388655,0.711802172,-0.248195612,0.338109795,0.746037137,0.563063108,-0.069235594,0.624155821,0.123302202
0.323906166,0.498082228,-0.000965889,0.121919317,1.196117786,0.238018259,1.405162941,1.051228499,0.722201664,0.171608705,-0.331817458,0.671429279,-0.204113895,0.687442334,0.695177173,0.590467407,-0.154216427,0.664381589,0.658161221
0.567385574,-0.431742398,0.156756943,-0.348850595,0.206861831,0.050921703,0.588984859,0.307304427,-0.232242308,0.311755772,-0.664936733,0.085497522,-0.083625492,0.460427837,0.461566753,0.502923286,-0.235128464,-0.497855889,-0.260237446
-0.29656615,-0.144736016,-0.346644847,0.268097657,-0.0759863,0.339455094,0.883554482,0.385577202,0.355629647,0.194304996,-0.346752719,0.725213731,-0.329469399,0.259318344,0.447435637,0.755318835,-0.216152429,0.064437734,-0.877801922
0.523185236,0.046040859,0.166957652,-0.205019452,0.598825995,0.424489751,1.008300694,0.559715572,0.144789303,0.449512703,-0.24305316,0.369060296,0.025707617,0.892867683,0.606870492,0.310565454,0.302337314,0.560398868,0.94180567
0.50216136,-0.32608629,0.108962888,-0.068079761,0.181888506,0.882428676,0.997180177,0.348632413,0.220767217,0.50629996,-0.617049746,0.434259557,-0.225342454,0.687947773,0.378622108,1.10118684,-0.314681686,-0.520851856,-0.987593419
1.052635367,0.322954581,0.520836404,0.012156206,0.924898313,0.621723174,0.568827696,0.373691677,0.220643685,0.383183189,-0.185230522,0.616880529,0.36383406,0.738960032,0.821677923,0.456145936,1.15958482,0.829427522,1.206899086
0.311074605,0.553221865,-0.077985432,0.325114246,0.956099948,0.414062061,1.392870047,1.050128211,0.783636697,0.208982229,-0.188291858,0.917311696,-0.159402229,0.676650082,0.970273657,0.461149375,-0.016978406,0.947662181,0.680956874
0.30244592,0.043706927,0.359013464,-0.357118657,1.744289967,-0.773474098,0.381146172,0.382228419,-0.262880946,0.562834429,-0.483343562,-0.181670579,-0.094159893,-0.180913104,0.139172719,0.109501679,-0.18375428,-0.010084351,-0.328890749
0.130640582,-0.293583461,-0.009443235,1.424629825,0.186192194,0.337501291,0.391400746,0.140630103,0.059506263,0.289056913,-0.162532133,0.412061149,0.202839577,0.648425487,0.355045746,0.331199017,0.610564804,0.218507999,0.185576742
0.324159513,-0.042821505,0.094743415,0.561364165,0.765805166,1.216390827,1.067087078,0.569914533,0.77464826,0.23897754,0.289674284,0.614855482,-0.011113984,0.501179363,0.981716168,0.418859398,0.456976927,0.763302224,0.767443964
0.155603335,-0.094301993,-0.373672421,0.363875919,0.066023382,0.487878539,1.397955454,0.816513211,-0.06531074,0.261750404,0.198362581,0.541938242,-0.197351239,0.686449077,0.613827186,0.439648564,0.333724536,1.031385344,0.56969615
0.234055309,-0.008419894,-0.040473704,0.662468957,0.389762927,1.073551034,0.904875347,0.465913696,0.569230184,0.187370985,0.450493611,0.724285339,-0.100003648,0.347761946,0.900168438,0.283574521,0.327952136,1.037439971,0.704519005
0.440944714,-0.409506174,0.161351823,0.315464434,-0.499330572,1.831865028,0.929603464,0.09017713,0.67360117,0.348010362,-0.367116441,0.844713799,-0.196987944,0.663686554,0.267606221,1.379538101,-0.118244562,-0.985058789,-1.325021558
-0.24688803,-0.150500085,-0.292447049,0.917528353,0.164500901,0.456087568,0.389861519,0.153675942,-0.191892852,0.156277868,-0.116168999,0.383386491,-0.031693813,0.230739002,0.36444882,0.335364797,0.058211804,0.335171007,-0.204551857
0.660973885,-0.209303905,0.335091108,0.759502678,0.470619004,0.592775396,0.29828978,0.101977314,0.038284437,0.273100384,0.057842117,0.437372263,0.350705442,0.402540478,1.042184851,-0.00122408,0.441658352,0.350671496,0.684329869
-0.169335256,-0.213038773,-0.215315347,0.876724532,0.194728108,0.7229299,0.648629607,0.259933181,0.210190886,0.105039632,0.184298337,0.353084258,0.055516065,0.462976232,0.460089966,0.407012033,0.260049083,0.262141992,0.206501354
0.730432338,-0.134673542,0.05793716,0.525539952,0.440727374,0.581352912,0.875074539,0.539660355,0.71698029,0.205982651,-0.036202857,0.811082154,-0.079697238,0.981302587,0.818304441,0.672972957,0.384205814,0.318328344,0.109502346
1.141916725,0.160550982,0.585012796,-0.054263595,0.96401657,0.486494453,0.337048344,0.197945311,0.590853474,0.430457593,-0.340280232,0.499450463,0.228542718,0.781122679,1.03941959,0.353367444,1.494496588,0.87583585,1.533774093
